2523,5,양평,Yangpyeong,杨坪
2524,5,영등포구청,Yeongdeungpo-gu Office,永登浦区厅
2525,5,영등포시장,Yeongdeungpo Market,永登浦市场
2526,5,신길,Singil,新吉
2527,5,여의도,Yeouido,汝矣岛
2528,5,여의나루,Yeouinaru,汝矣渡口
2529,5,마포,Mapo,麻浦
2530,5,공덕,Gongdeok,孔德
2531,5,애오개,Aeogae,儿岭
2532,5,충정로,Chungjeongno ,忠正路
2533,5,서대문,Seodaemun,西大门
2534,5,광화문,Gwanghwamun  ,光化门
2535,5,종로3가,Jongno 3(sam)ga,钟路三街
2536,5,을지로4가,Euljiro 4(sa)ga,乙支路四街
2537,5,동대문역사문화공원,Dongdaemun History & Culture Park,东大门历史文化公园
2538,5,청구,Cheonggu,青丘
2539,5,신금호,Singeumho,新金湖
2540,5,행당,Haengdang,杏堂
2541,5,왕십리,Wangsimni,往十里
2542,5,마장,Majang,马场
2543,5,답십리,Dapsimni,踏十里
2544,5,장한평,Janghanpyeong,长汉坪
2545,5,군자,Gunja ,君子
2546,5,아차산,Achasan ,峨嵯山
2547,5,광나루,Gwangnaru ,广渡口
2548,5,천호,Cheonho ,千戶
2549,5,강동,Gangdong,江东
2550,5,길동,Gildong,吉洞
2551,5,굽은다리,Gubeundari ,曲桥
2552,5,명일,Myeongil,明逸
2553,5,고덕,Godeok,高德
2554,5,상일동,Sangildong,上一洞
2555,5,둔촌동,Dunchondong,遁村洞
2556,5,올림픽공원,Olympic Park ,奥林匹克公园
2557,5,방이,Bangi,芳荑
2558,5,오금,Ogeum,梧琴
2559,5,개롱,Gaerong,开笼
2560,5,거여,Geoyeo,巨余
2561,5,마천,Macheon,马川
2611,6,응암,Eungam,鹰岩
2612,6,역촌,Yeokchon,驿村
2613,6,불광,Bulgwang,佛光
2614,6,독바위,Dokbawi,瓮岩
2615,6,연신내,Yeonsinnae,延新川
2616,6,구산,Gusan,龟山
2617,6,새절,Saejeol ,赛折
2618,6,증산,Jeungsan ,缯山
2619,6,디지털미디어시티,Digital Media City,数码媒体城
2620,6,월드컵경기장,World Cup Stadium ,世界杯体育场
2621,6,마포구청,Mapo-gu Office,麻浦区厅
2622,6,망원,Mangwon,望远
2623,6,합정,Hapjeong,合井
2624,6,상수,Sangsu,上水
2625,6,광흥창,Gwangheungchang ,广兴仓
2626,6,대흥,Daeheung ,大兴
2627,6,공덕,Gongdeok,孔德
2628,6,효창공원앞,Hyochang Park ,孝昌公园
2629,6,삼각지,Samgakji,三角地
2630,6,녹사평,Noksapyeong ,绿莎坪
